ID,Term
1,Allgemeines Künstlerlexikon Online / Artists of the World Online
1,Baltimore Daguerreans
1,Canadian Cencus- 1881
1,Canadian Census- 1861
1,Canadian Census- 1871
1,Canadian Census- 1891
1,Canadian Census- 1901
1,Canadian Census- 1911
1,Canadian Census- 1921
1,Catalogue of Copyright Entries
1,City or Business Directory
1,Craig's Daguerreian Registry
1,Darrah: Cartes de Visite
1,Death Records
1,Directory of Civil War Photographers
1,Encyclopedia of Nineteenth-Century Photography
1,English Census- 1881
1,English Census- 1911
1,George Eastman House telnet database (No longer extant)
1,Heilbrun Timeline of Art History
1,MnHS Directory of Minnesota Photographers
1,NYPL Clipping File
1,PAA Directory 1944-1945
1,PAA Directory 1948-1949
1,Photographers of the Pacific Northwest database
1,PhotographyDatabase.org
1,photoLondon.org.uk
1,Pioneer Photographers from the Mississippi to the Continental Divide
1,Pioneer Photographers of the Far West
1,Print Council of America's Index to Print Catalogues Raisonné
1,Royal Commonwealth Society Index
1,State Census - 1892
1,State Census- 1855
1,State Census- 1865
1,State Census- 1875
1,State Census- 1885
1,State Census- 1895
1,State Census- 1905
1,State Census- 1915
1,State Census- 1925
1,State Census- 1935
1,Union List of Artist Names (Getty ULAN)
1,US Census- 1850
1,US Census- 1860
1,US Census- 1870
1,US Census- 1880
1,US Census- 1900
1,US Census- 1910
1,US Census- 1920
1,US Census- 1930
1,US Census- 1940
1,US MIlitary Records
1,Wikipedia
