TermID,Term
2028182,Cambridge University: RCS Collection
2028018,Center for Creative Photography
2028112,"Family of Man Museum, Clervaux Castle, Luxembourg"
2028014,Getty Museum
2028037,Harry Ransom Center
2028019,Library of Congress
2028204,Metropolitan Museum of Art
2028015,Museum of Contemporary Photography Chicago
2028016,Museum of Fine Art Houston
2028219,Museum of Modern Art
2028021,National Portrait Gallery UK
2028022,National Portrait Gallery US
2028013,Niepce Museum
2028165,"NYPL, Photography Collection"
2028173,"NYPL, Spencer Collection"
2028020,Tenement Museum
